cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
3039,113.84,polyline,,,0.8897,,,6,
2627,113.84,polyline,,,1.1883,,,6,
4662,113.84,polyline,,,1.2898,,,6,
4789,113.84,polyline,,,0.8303,,,6,
10,113.84,polyline,,,0.7181,,,6,
4075,113.84,polyline,,,0.7241,,,6,
4003,113.84,polyline,,,1.0699,,,6,
4784,113.84,polyline,,,1.4796,,,6,
2115,113.84,polyline,,,0.7204,,,0,
1103,113.84,polyline,,,0.9978,,,6,
4680,113.84,cc_longest,180.0,1.1657,1.652,4.07,123.7,6,"498,216;498,211"
18,113.84,polyline,,,0.9431,,,9,
2047,113.84,polyline,,,0.6659,,,9,
148,113.84,polyline,,,0.7994,,,6,
4371,113.84,polyline,,,0.8684,,,6,
286,113.84,cc_longest,180.0,1.0823,1.4503,3.527,180.0,7,"22,265;27,263"
1858,113.84,polyline,,,0.9134,,,6,
4264,113.84,polyline,,,1.2382,,,0,
1874,113.84,polyline,,,0.7715,,,6,
3763,113.84,polyline,,,0.8598,,,6,
4202,113.84,polyline,,,0.7644,,,6,
4385,113.84,polyline,,,0.9409,,,0,
426,113.84,cc_longest,180.0,1.1657,1.1072,1.616,123.7,7,"34,128;39,128"
3829,113.84,polyline,,,1.1547,,,6,
1181,113.84,polyline,,,0.9944,,,6,
396,113.84,polyline,,,0.8278,,,6,
3485,113.84,polyline,,,0.826,,,6,
3424,113.84,cc_longest,180.0,1.1657,2.3411,4.813,118.2,6,"359,238;356,234"
2848,110.49,cc_longest,180.0,1.0,1.9682,3.843,180.0,5,"297,374;293,378"
30,105.75,polyline,,,0.9636,,,6,
1767,105.75,polyline,,,0.6794,,,6,
3765,105.75,polyline,,,1.4796,,,6,
153,105.75,cc_longest,180.0,1.2107,1.586,3.891,118.2,6,"13,361;11,357"
4442,105.75,polyline,,,0.7974,,,6,
3379,105.75,polyline,,,1.0634,,,6,
4434,105.75,cc_longest,180.0,1.2761,2.0896,4.771,90.0,6,"468,422;465,419"
563,105.75,polyline,,,1.1161,,,6,
727,105.75,cc_longest,180.0,1.0618,1.7323,3.413,151.8,6,"61,242;60,237"
2761,105.75,polyline,,,0.6243,,,6,
837,105.75,polyline,,,1.4058,,,6,
800,105.75,polyline,,,1.3444,,,6,
2965,105.75,polyline,,,0.8737,,,6,
3942,105.75,polyline,,,1.4125,,,6,
2679,105.75,polyline,,,0.8113,,,6,
1108,105.75,polyline,,,0.7324,,,6,
3236,105.75,polyline,,,1.2767,,,6,
558,105.75,cc_longest,180.0,1.0618,1.7761,2.457,151.8,6,"46,122;45,127"
2569,105.75,polyline,,,1.3317,,,6,
3816,105.75,cc_longest,180.0,1.0618,0.6574,0.832,151.8,8,"403,510;398,511"
1579,105.75,polyline,,,2.3143,,,0,
3598,105.75,cc_longest,180.0,1.0618,0.8874,1.096,151.8,7,"376,334;375,339"
1657,105.75,polyline,,,1.1351,,,6,
3556,105.75,polyline,,,1.0782,,,6,
3764,105.75,cc_longest,180.0,1.0618,1.7729,2.094,151.8,6,"393,394;392,389"
1077,102.4,polyline,,,1.0568,,,5,
4702,102.4,polyline,,,1.4788,,,5,
3066,102.4,polyline,,,0.7752,,,0,
702,102.4,polyline,,,0.8024,,,5,
1942,102.4,polyline,,,0.5919,,,0,
4122,102.4,polyline,,,1.0398,,,5,
730,102.4,polyline,,,1.1721,,,0,
2296,102.4,polyline,,,0.9109,,,5,
3588,102.4,polyline,,,1.0008,,,5,
1409,102.4,polyline,,,0.7862,,,5,
3286,102.4,polyline,,,0.6332,,,0,
1688,102.4,cc_longest,180.0,1.0485,1.6183,2.419,135.0,5,"168,428;164,425"
4377,102.4,polyline,,,0.6891,,,5,
120,102.4,polyline,,,1.038,,,5,
4266,102.4,cc_longest,180.0,1.2715,1.2167,2.637,135.0,6,"446,505;450,506"
3769,102.4,polyline,,,0.994,,,5,
1730,102.4,polyline,,,0.9379,,,7,
3875,102.4,cc_longest,180.0,1.0485,1.3318,3.193,135.0,6,"407,350;404,346"
1789,102.4,polyline,,,0.711,,,0,
1778,102.4,polyline,,,1.0904,,,5,
3853,102.4,polyline,,,0.9434,,,5,
1798,102.4,polyline,,,1.4487,,,5,
3910,102.4,polyline,,,0.7327,,,5,
