cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
3196,710.64,polyline,,,1.2102,,,0,
2,709.25,polyline,,,2.5715,,,40,
2267,707.29,cc_longest,165.96,1.2313,1.8846,3.463,171.3,48,"313,374;304,402"
1083,700.59,polyline,,,1.3482,,,34,
976,700.59,polyline,,,1.2665,,,29,
386,696.42,polyline,,,1.2286,,,35,
3043,679.67,polyline,,,1.1432,,,30,
3326,677.7,polyline,,,1.4049,,,27,
1984,673.54,polyline,,,2.1487,,,46,
2381,658.75,polyline,,,1.479,,,43,
3,654.01,cc_longest,156.04,1.1131,3.4766,7.649,143.9,36,"8,138;0,109"
1135,623.04,polyline,,,1.5178,,,30,
239,600.15,polyline,,,1.2726,,,0,
2220,590.1,cc_longest,164.28,1.151,1.4436,3.163,145.2,26,"314,318;294,335"
2038,586.75,cc_longest,170.54,1.1783,2.1295,4.732,132.0,37,"291,504;268,493"
3858,582.01,cc_longest,161.01,1.0725,1.5035,2.499,153.4,29,"511,346;487,332"
1756,567.22,polyline,,,1.2541,,,23,
486,557.74,polyline,,,2.2792,,,25,
446,556.35,polyline,,,1.1073,,,27,
2198,554.39,polyline,,,1.6589,,,30,
1585,554.39,polyline,,,1.5494,,,24,
3300,551.61,polyline,,,1.2111,,,28,
778,549.65,cc_longest,160.35,1.123,1.9468,3.222,174.5,26,"120,91;98,79"
2459,549.65,polyline,,,1.2865,,,25,
1452,549.65,polyline,,,1.3234,,,25,
1715,548.26,polyline,,,1.3585,,,28,
341,547.69,polyline,,,1.0132,,,22,
1412,544.91,polyline,,,1.1898,,,0,
3589,539.6,polyline,,,2.0187,,,22,
325,528.73,cc_longest,180.0,1.0618,1.2838,2.31,174.6,28,"49,140;44,165"
3794,526.77,polyline,,,1.07,,,23,
174,526.77,polyline,,,2.0926,,,23,
2041,523.99,polyline,,,1.8066,,,32,
1402,523.42,polyline,,,1.9793,,,22,
2746,522.03,polyline,,,1.3898,,,28,
2082,505.85,polyline,,,1.2714,,,0,
1702,500.54,polyline,,,1.1985,,,0,
680,491.06,polyline,,,1.3261,,,35,
5,488.28,cc_longest,180.0,1.0,3.5625,6.89,180.0,32,"0,511;0,486"
2913,486.32,polyline,,,1.5945,,,23,
2726,482.97,polyline,,,1.7493,,,22,
709,481.0,polyline,,,1.9857,,,19,
1443,479.62,polyline,,,1.3415,,,21,
3529,476.27,polyline,,,0.9896,,,20,
3892,474.88,polyline,,,2.5439,,,22,
2679,472.91,polyline,,,1.6121,,,0,
1860,468.18,polyline,,,1.912,,,20,
3570,464.82,polyline,,,1.7693,,,19,
3692,463.44,polyline,,,2.4514,,,0,
840,450.61,polyline,,,1.5219,,,30,
3088,448.64,polyline,,,0.9171,,,19,
561,445.29,polyline,,,0.8677,,,18,
9,443.9,cc_longest,180.0,1.2549,2.6315,6.744,144.0,37,"19,168;1,170"
948,440.55,cc_longest,180.0,1.0993,1.2372,2.441,150.9,24,"135,503;120,489"
1823,434.43,polyline,,,1.0669,,,22,
1428,427.72,polyline,,,1.2421,,,20,
1246,427.72,polyline,,,0.8185,,,0,
1522,422.99,polyline,,,1.8471,,,21,
1549,412.93,polyline,,,1.0948,,,35,
2261,411.54,polyline,,,1.2059,,,20,
16,411.54,polyline,,,2.3406,,,20,
2682,409.58,polyline,,,1.661,,,17,
226,408.19,polyline,,,1.128,,,19,
1788,408.19,polyline,,,1.9857,,,0,
3556,400.1,polyline,,,0.9641,,,19,
1486,396.75,polyline,,,1.2491,,,18,
1027,396.75,cc_longest,180.0,1.2205,0.8462,1.467,159.9,24,"144,2;130,11"
1164,392.01,cc_longest,180.0,1.0999,1.1112,1.874,154.6,20,"165,446;147,443"
387,388.66,polyline,,,1.2708,,,18,
2114,388.66,polyline,,,1.0862,,,18,
832,385.31,polyline,,,1.1197,,,22,
3520,380.57,polyline,,,1.5385,,,18,
526,380.57,cc_longest,180.0,1.197,1.583,2.35,141.1,22,"83,362;67,365"
115,375.83,polyline,,,1.2576,,,23,
3441,372.48,polyline,,,1.0992,,,30,
2047,372.48,polyline,,,1.2992,,,18,
230,369.13,polyline,,,1.2956,,,17,
49,369.13,polyline,,,1.1913,,,17,
1990,367.74,polyline,,,1.0258,,,20,
2004,362.43,cc_longest,180.0,1.0489,1.088,1.91,163.1,17,"276,330;264,343"
1933,361.04,polyline,,,0.8626,,,0,
2794,357.69,cc_longest,180.0,1.3465,2.015,7.73,163.8,18,"381,186;370,194"
1824,357.69,polyline,,,1.4668,,,16,
1432,354.34,polyline,,,1.379,,,15,
730,354.34,polyline,,,0.8901,,,15,
810,349.6,polyline,,,1.1205,,,16,
168,348.21,polyline,,,4.3024,,,26,
1387,346.25,polyline,,,0.866,,,15,
2832,346.25,cc_longest,180.0,1.1614,1.7357,4.983,151.5,18,"384,19;376,6"
2893,341.51,polyline,,,1.6223,,,16,
3048,338.16,polyline,,,0.8752,,,15,
3945,338.16,cc_longest,180.0,1.2977,1.0176,1.813,99.7,16,"503,188;500,201"
337,334.81,polyline,,,0.8752,,,14,
1640,333.42,polyline,,,1.1183,,,16,
3782,328.68,polyline,,,1.1057,,,17,
1520,326.72,polyline,,,1.2951,,,14,
1598,326.72,cc_longest,180.0,1.0753,1.2088,1.874,160.4,17,"204,314;215,303"
1479,321.98,polyline,,,1.1144,,,15,
1778,318.63,polyline,,,0.9466,,,14,
3789,318.63,cc_longest,180.0,1.0687,0.9914,1.813,160.2,15,"488,84;480,71"
